Task,Depends On,Module,Notes,Phase,Status,Priority
Claude Code: Write camara_politicians_sync ETL script,Test CĂ˘mara API; Run schema migrations,Data Ingestion,"Fetch all deputies via /deputados, upsert into core.politicians. Fetch party data into core.parties. Schedule weekly.",MVP,Done,P0 - Blocker
Claude Code: Write camara_votes_daily ETL script,camara_politicians_sync done,Data Ingestion,"Fetch new votacoes since last run. For each nominal vote, fetch /votacoes/{id}/votos and /votacoes/{id}/orientacoes. Upsert into core.votacoes and core.individual_votes. Log to jobs.etl_runs.",MVP,Done,P0 - Blocker
"Manus: Load TSE donation data (2018 + 2022, federal candidates only)",GCP project and BigQuery enabled,Data Ingestion,"Run BigQuery query from Blueprint Â§2.3 against br_tse_eleicoes.receitas_candidato. Filter: ano_eleicao IN (2018, 2022), cargo IN ('DEPUTADO FEDERAL', 'SENADOR'). Output: donations_2018.csv, donations_2022.csv",MVP,Done,P0 - Blocker
Run database schema migrations (all tables from Blueprint Â§3),Provision PostgreSQL on Railway,Infrastructure,"Use Claude Code. Run SQL DDL from Technical Blueprint Â§3.2 â€” schemas: core, tse, auth, jobs.",MVP,Done,P0 - Blocker
Test CĂ˘mara API endpoints manually,,Data Ingestion,"Use curl or Postman to confirm: GET /deputados, GET /votacoes, GET /deputados/{id}/discursos all return expected JSON. Base URL: https://dadosabertos.camara.leg.br/api/v2/",MVP,Done,P0 - Blocker
Auth: Follow/unfollow politician endpoints,User auth done,Auth,"POST /politicians/{id}/follow, DELETE same. Upserts into auth.politician_follows.",MVP,Done,P1 - Core
Backend: Donation endpoints,TSE data loaded; Core API done,Backend API,GET /politicians/{id}/donations and GET /donors/{id}. Masked CPF. Filter by election year.,MVP,Done,P1 - Core
"Backend: Feed endpoint (authenticated, per-user)",Core endpoints done; Auth done,Backend API,GET /feed â€” reverse-chronological events for followed politicians. Supports type= filter. JWT-authenticated.,MVP,Done,P1 - Core
Bug: number of votaĂ§Ăµes ,,Frontend,"The number of Yes/No/Abstention/Other votes in /votacao/# always sums up to 100, which makes me think that the code is not looking beyond the first 100 votes, for some reason.

Similarly, in the list of deputados in the same page, only the first 100 are shown.",MVP,Done,P1 - Core
Build AI enrichment worker: bill summaries,bills_tramitacoes_daily done,AI Enrichment,"Background worker polls bills with null summary. Calls Claude Sonnet. Fills short_title, summary, policy_area",MVP,Done,P1 - Core
Build AI enrichment worker: policy tagging,bills_tramitacoes_daily done,AI Enrichment,"Background worker assigns tags to bills, using policy_tags (taxonomy from Blueprint Â§6.1).",MVP,Done,P1 - Core
Build AI enrichment worker: speech summaries and keyword extraction,camara_speeches_daily done,AI Enrichment,"Polls speeches with null summary. Calls Claude Sonnet. Fills summary (3 sentences), keywords (5â€“7 terms), policy_tags.",MVP,Done,P1 - Core
Build FastAPI backend with core endpoints,Database schema and initial data loaded,Backend API,"Endpoints: GET /politicians, GET /politicians/{id}, GET /politicians/{id}/votes, GET /politicians/{id}/speeches, GET /bills/{id}, GET /votacoes (paginated). All return JSON.",MVP,Done,P1 - Core
Build frontend: authenticated feed page,Feed endpoint done; Auth done,Frontend,"Left sidebar (followed politicians), main feed with event cards. Type filter bar. See Blueprint Â§5.2.",MVP,Done,P1 - Core
Build frontend: bill detail page,Backend bill endpoint done; AI summaries done,Frontend,"Sections: O que Ă©?, TramitaĂ§ĂŁo timeline, VotaĂ§Ăµes breakdown. Track button. See Blueprint Â§5.4.",MVP,Done,P1 - Core
Build frontend: donation table (per-politician tab),Donation endpoints done,Frontend,Top 10 donors bar chart + full table. Toggle 2018/2022. Legal disclaimer. Masked CPF.,MVP,Done,P1 - Core
Build frontend: login and registration pages,Auth endpoints done,Frontend,Clean forms. Email verification confirmation screen. Error states.,MVP,Done,P1 - Core
Build frontend: politician profile page (6 tabs),Core API and donation endpoints done,Frontend,"Tabs: Atividade, VotaĂ§Ăµes, Discursos, Projetos, ComissĂµes, Doadores. See Blueprint Â§5.3. Use Base44 for rapid iteration.",MVP,Done,P1 - Core
Build frontend: unauthenticated landing page,Core API endpoints done,Frontend,"Tagline, value prop, 3 live activity cards, search bar. No login required to browse.",MVP,Done,P1 - Core
Build weekly email digest generator,Resend configured; Auth done; Feed endpoint done,Email Delivery,"Cron job every Friday. For each user with followed politicians and digest=weekly: compile last 7 days of activity, max 5 politicians Ă— 3 items each, send via Resend. See Blueprint Â§5.8 for format.",MVP,Done,P1 - Core
Bulk-load TSE donations into PostgreSQL,Manus TSE load done; Run schema migrations,Data Ingestion,Use COPY command or Python psycopg2 to load Manus CSV output into tse.donors and tse.donations. Link to core.politicians via CPF.,MVP,Done,P1 - Core
"Check ""Projetos de Lei"" tab",,Frontend,"Check tab ""Projetos de Lei"" for /politico/#: are we correctly filtering for bills that have been proposed by that Deputado? If not, can we do it? If we can't, we should eliminate the tab.",MVP,Done,P1 - Core
Claude Code: Write bills_tramitacoes_daily ETL script,camara_votes_daily done,Data Ingestion,"For all in-progress bills, fetch /proposicoes/{id}/tramitacoes and upsert new events into core.legislative_events.",MVP,Done,P1 - Core
Claude Code: Write camara_speeches_daily ETL script,camara_politicians_sync done,Data Ingestion,Fetch /deputados/{id}/discursos?dataInicio={yesterday} for each active deputy. Upsert into core.speeches. Enqueue for AI enrichment.,MVP,Done,P1 - Core
Configure Resend for transactional email,,Email Delivery,"Create Resend account, verify domain (if custom domain), get API key. Configure in Railway environment variables.",MVP,Done,P1 - Core
Create database indexes for performance,Run database schema migrations,Infrastructure,"Indexes from Blueprint Â§7.2. Full-text tsvector index on politicians, bills, speeches.",MVP,Done,P1 - Core
End-to-end test: full data pipeline (ingest â†’ enrich â†’ display),All MVP features built,Testing & QA,"Manual test: follow 3 real politicians, check feed, check politician profile, check email digest is generated correctly.",MVP,Done,P1 - Core
"Fix ""atividade recente"" tab for individual politicians",,Frontend,"Check why ""atividade recente"" tab is still blank. For me, this tab should just be a collection of items shown in tabs ""Votaçőes"", ""Discursos"" and ""Projetos de Lei"", for which the date is over the last month.",MVP,Done,P1 - Core
"Set up user auth (email + password, JWT tokens)",Backend API structure in place,Auth,"POST /auth/register, POST /auth/login, POST /auth/verify-email. bcrypt password hashing. JWT access tokens. Email verification via Resend.",MVP,Done,P1 - Core
Validate symbolic vote disclaimer is clear across all pages,,Testing & QA,"Confirm warning is visible on votaĂ§Ăµes tab, voting explorer, and any individual vote view. This is critical for product integrity.",MVP,Done,P1 - Core
Auth: Bill track/untrack endpoints,User auth done,Auth,"POST /bills/{id}/track, DELETE same. Upserts into auth.bill_tracks.",MVP,Done,P2 - Important
Backend: Full-text search endpoint,tsvector indexes created; Core API done,Backend API,"GET /search?q={query}. Returns politicians, bills, speeches grouped by type.",MVP,Done,P2 - Important
Build AI enrichment worker: legislative event plain-language summaries,bill enrichment worker done,AI Enrichment,Translates bureaucratic tramitacao stage names into human-readable milestones.,MVP,Done,P2 - Important
Build AI enrichment worker: politician AI bios,politicians sync done,AI Enrichment,"Run once for all active politicians. 3-sentence bio from party history, committees, state. Store in http://politicians.ai_bio.",MVP,Done,P2 - Important
Build frontend: search page,Search endpoint done,Frontend,"Instant search with debounce. Results grouped: PolĂ­ticos, Projetos, Discursos.",MVP,Done,P2 - Important
Build frontend: voting database explorer (/votacoes),Backend votacoes endpoint done,Frontend,Filterable table of nominal votes. Expandable rows with per-politician breakdown. See Blueprint Â§5.5.,MVP,Done,P2 - Important
Include symbolic votes,,Infrastructure,"Given the high number of votes that are decided by symbolic votes, I feel like we should include those in /votacoes. Check the ETL, the database, the backend hook and the frontend to check what we need to do to make it work.",MVP,Done,P2 - Important
Source information: Assign deputies to commissions,,Backend API,"Understand if Camara's API identifies commissions of which each Deputado is a member of. If not, check whether a crawler can be used to source the information",MVP,Done,P2 - Important
Update frontend to show comissions,Source information: Assign deputies to commissions,Frontend,"Update frontend (/politicos/#) to show comissions of which politicians is a member of.

Update /deputados to allow filtering by comissions",MVP,Done,P2 - Important
Insufficient information for individual vote pages,,Frontend,"Individual vote pages show the proposition name, and a very short text",MVP,Done,P2 - Important
Build automated script to refresh commissions,Source information: Assign deputies to commissions,Backend API,"Build automated script to pull information about commissions for each deputado, to be run every time backend is started, given that the last check hasn't been done over the last 24 hours.",MVP,Done,P3 - Nice to Have
Check: order of bills,,Frontend,"In /proposicoes, it seems like bills are ordered by most recent votes. I think we should order them based on their creation date. Check whether we have that in the database",MVP,Done,P3 - Nice to Have
Include chart with breakdown by party,,Frontend,"Inclue a pie chart in /partidos, with the breakdown of deputados by each partido.",MVP,Done,P3 - Nice to Have
Login not working,,Auth,"Flow of creating account / logging in doesn't seem to be working. Check flow. When user clicks on ""create account"", nothing seems to happen – include a confirmation message",MVP,Not Started,P0 - Blocker
Speeches,,Frontend,"I still don't see any speeches in /politico/#, in the Discursos tab. Check if the ETL has been run, if there's data in the DB, and if the backend endpoint has been built.",MVP,Not Started,P0 - Blocker
"""Create account"" button",,Frontend,"""Create account"" button has white text and backgroun, I can't see it.",MVP,Not Started,P1 - Core
Revise individual vote page,,Frontend,"Individual vote pages have been enriched with a lot more data. Still, it is still unclear what exactly the vote is about. See, for example, /votacao/36055. What is this requirement about?  In what commission did it happen (I see the PLEN symbol, but I would highlight it and turn itinto a full word or sentence)? Was the vote symbolic or nominal? Do we have that data in the DB?",MVP,Not Started,P1 - Core
Search,,Frontend,"Search tab not showing any results; check to see if everything is connected correctly. Also, explain to me what data will the search cover, and what data won't it cover",MVP,Not Started,P1 - Core
"Policy tag follows in feed (follow 'saude', 'meio ambiente', etc.)",,Frontend,"Users follow tags, not just politicians. Events with matching policy_tags appear in feed and digest.",MVP,Not Started,P3 - Nice to Have
Donations: revise sources,,Data Ingestion,"For the donations, the nomenclature for the sources changes between 2014 and 2018. We should group them in 4 broad categories: donations from individuals, donations from companies (extinct after 2014), funds from political party, others",MVP,Not Started,P3 - Nice to Have
Provision PostgreSQL database on Railway,,Infrastructure,"Deploy Railway project, add Postgres plugin, save connection string.",V1,Not Started,P0 - Blocker
Deploy cron jobs to Railway,All ETL scripts written and tested locally,Infrastructure,"Railway supports cron syntax natively. Daily jobs at 06:00 BRT, weekly on Fridays.",V1,Not Started,P1 - Core
Claude Code: Write senado_politicians_sync ETL script,Test Senado API; Run schema migrations,Data Ingestion,Fetch all senators via /senador/lista/atual.json. Upsert into core.politicians. Schedule weekly.,V2,Not Started,P0 - Blocker
Claude Code: Write senado_votes_daily ETL script,senado_politicians_sync done,Data Ingestion,"Fetch /plenario/lista/votacoes/{today}.json. For each senator in each vote, fetch individual vote. Upsert.",V2,Not Started,P0 - Blocker
Test Senado API endpoints manually,,Data Ingestion,"Test: /senador/lista/atual.json, /plenario/lista/votacoes/{date}.json. Note: append .json to all endpoints. Date format is YYYYMMDD.",V2,Not Started,P0 - Blocker
Claude Code: Write senado_speeches_daily ETL script,senado_politicians_sync done,Data Ingestion,Fetch /senador/{codigo}/discursos.json?dataInicio={yesterday} per senator. Always pass explicit dates to avoid defaults.,V2,Not Started,P1 - Core
Donation network graph (D3.js force-directed),,Frontend,Pre-compute subgraph (top 500 donors by total). Serve as JSON. Render with D3.js or Sigma.js. Click nodes to explore. See Blueprint Â§5.6.,V2,Not Started,P1 - Core
Company shareholder enrichment for donors,,Data Ingestion,Link donor CPFs/CNPJs to company ownership data (Receita Federal). Show which companies a donor is director/shareholder of.,V2,Not Started,P2 - Important
Mobile-responsive design,,Frontend,Blueprint deliberately deferred mobile. Design was built desktop-first for the complex visualizations. Mobile-friendly after core features are stable.,V2,Not Started,P2 - Important
News media integration: newspaper coverage of bills,,Data Ingestion,"Scrape or RSS-aggregate coverage from Folha, Estadao, O Globo for bills in Vizy's database. Potential revenue source.",V2,Not Started,P2 - Important
Party cohesion scoring,,Backend API,"% of party members who voted with leadership orientation, per vote and per period. Surface in voting database and politician profile.",V2,Not Started,P2 - Important
Politician vs. politician vote alignment comparison,,Frontend,Side-by-side comparison view. Alignment score: what % of nominal votes did they vote the same way?,V2,Not Started,P2 - Important
Voting ideology scoring per politician,,AI Enrichment,"Score politicians on axes (e.g. economic left-right, social conservatism) based on their nominal vote history. Inspired by http://Politicos.org.br but ideologically neutral.",V2,Not Started,P2 - Important
Direct feedback button to politician cabinet email,,Frontend,Button on politician profile that opens mailto: to the cabinet email stored in http://core.politicians.email.,V2,Not Started,P3 - Nice to Have
Speech sentiment analysis,,AI Enrichment,Add sentiment field (positive/negative/neutral) to speeches. Enrich via Claude API. Surface on politician profile.,V2,Not Started,P3 - Nice to Have
